shift,A,cluster,peaks,Hs
2.50086,23.7841,c3,9,1
2.50106,23.4529,c3,9,1
2.50126,23.446,c3,9,1
2.50146,23.7808,c3,9,1
2.50166,24.3473,c3,9,1
2.50185,25.1353,c3,9,1
2.50205,26.0623,c3,9,1
2.50225,27.0863,c3,9,1
2.50245,28.1798,c3,9,1
2.50265,29.2843,c3,9,1
2.50285,30.2499,c3,9,1
2.50304,30.9794,c3,9,1
2.50324,31.3846,c3,9,1
2.50344,31.4148,c3,9,1
2.50364,31.2134,c3,9,1
2.50384,30.983,c3,9,1
2.50404,30.8915,c3,9,1
2.50423,30.9934,c3,9,1
2.50443,31.2343,c3,9,1
2.50463,31.4534,c3,9,1
