shift,A,cluster,peaks,Hs,config
3.67064,15.9845,c7,11,5,all
3.67081,17.1018,c7,11,5,all
3.67097,17.9516,c7,11,5,all
3.67114,18.4197,c7,11,5,all
3.67131,18.4912,c7,11,5,all
3.67148,18.264,c7,11,5,all
3.67164,17.8431,c7,11,5,all
3.67181,17.3351,c7,11,5,all
3.67198,16.8917,c7,11,5,all
3.67215,16.6789,c7,11,5,all
3.67232,16.7706,c7,11,5,all
3.67248,17.1678,c7,11,5,all
3.67265,17.8325,c7,11,5,all
3.67282,18.6967,c7,11,5,all
3.67299,19.6993,c7,11,5,all
3.67315,20.7186,c7,11,5,all
3.67332,21.6364,c7,11,5,all
3.67349,22.3582,c7,11,5,all
3.67366,22.794,c7,11,5,all
3.67383,22.854,c7,11,5,all
3.67399,22.4988,c7,11,5,all
3.67416,21.7481,c7,11,5,all
3.67433,20.6745,c7,11,5,all
3.6745,19.3623,c7,11,5,all
3.67466,17.9116,c7,11,5,all
3.67483,16.3999,c7,11,5,all
3.675,14.9343,c7,11,5,all
3.67517,13.5759,c7,11,5,all
3.67534,12.3559,c7,11,5,all
3.6755,11.3123,c7,11,5,all
3.67567,10.444,c7,11,5,all
3.67584,9.74901,c7,11,5,all
3.67601,9.19242,c7,11,5,all
3.67617,8.73153,c7,11,5,all
3.67634,8.33522,c7,11,5,all
3.67651,7.99771,c7,11,5,all
3.67668,7.74323,c7,11,5,all
3.67685,7.54987,c7,11,5,all
3.67701,7.42107,c7,11,5,all
3.67718,7.32816,c7,11,5,all
3.67735,7.26294,c7,11,5,all
3.67752,7.21385,c7,11,5,all
3.67768,7.16476,c7,11,5,all
3.67785,7.11048,c7,11,5,all
3.67802,7.05621,c7,11,5,all
3.67819,7.00193,c7,11,5,all
3.67836,6.94765,c7,11,5,all
3.67852,6.85468,c7,11,5,all
3.67869,6.7617,c7,11,5,all
3.67886,6.66872,c7,11,5,all
3.67903,6.57574,c7,11,5,all
3.67919,6.52197,c7,11,5,all
3.67936,6.4682,c7,11,5,all
3.67953,6.41443,c7,11,5,all
3.6797,6.36066,c7,11,5,all
3.67986,6.34595,c7,11,5,all
3.68003,6.33123,c7,11,5,all
3.6802,6.30268,c7,11,5,all
3.68037,6.30181,c7,11,5,all
3.68054,6.34303,c7,11,5,all
3.6807,6.41191,c7,11,5,all
3.68087,6.51886,c7,11,5,all
3.68104,6.65347,c7,11,5,all
3.68121,6.83284,c7,11,5,all
3.68137,7.05833,c7,11,5,all
3.68154,7.30862,c7,11,5,all
3.68171,7.58657,c7,11,5,all
3.68188,7.88586,c7,11,5,all
3.68205,8.18516,c7,11,5,all
3.68221,8.53691,c7,11,5,all
3.68238,8.95324,c7,11,5,all
3.68255,9.43069,c7,11,5,all
3.68272,9.9727,c7,11,5,all
3.68288,10.5793,c7,11,5,all
3.68305,11.3058,c7,11,5,all
3.68322,12.1615,c7,11,5,all
3.68339,13.137,c7,11,5,all
3.68356,14.2349,c7,11,5,all
3.68372,15.471,c7,11,5,all
3.68389,16.8523,c7,11,5,all
3.68406,18.4088,c7,11,5,all
3.68423,20.1614,c7,11,5,all
3.68439,22.1261,c7,11,5,all
3.68456,24.2891,c7,11,5,all
3.68473,26.5905,c7,11,5,all
3.6849,28.9381,c7,11,5,all
3.68507,31.2395,c7,11,5,all
3.68523,33.3936,c7,11,5,all
3.6854,35.2802,c7,11,5,all
3.68557,36.7978,c7,11,5,all
3.68574,37.845,c7,11,5,all
3.6859,38.3801,c7,11,5,all
3.68607,38.371,c7,11,5,all
3.68624,37.8442,c7,11,5,all
3.68641,36.8469,c7,11,5,all
3.68658,35.4749,c7,11,5,all
3.68674,33.8353,c7,11,5,all
3.68691,32.0551,c7,11,5,all
3.68708,30.2472,c7,11,5,all
3.68725,28.4969,c7,11,5,all
3.68741,26.885,c7,11,5,all
3.68758,25.5003,c7,11,5,all
3.68775,24.3646,c7,11,5,all
3.68792,23.4893,c7,11,5,all
3.68809,22.8261,c7,11,5,all
3.68825,22.3439,c7,11,5,all
3.68842,22.0002,c7,11,5,all
3.68859,21.7429,c7,11,5,all
3.68876,21.5317,c7,11,5,all
3.68892,21.3447,c7,11,5,all
3.68909,21.2039,c7,11,5,all
3.68926,21.0995,c7,11,5,all
